2024-11-15 20:58:10,636 - INFO - Starting training script
2024-11-15 20:58:10,636 - INFO - Model ID: 04
2024-11-15 20:58:10,636 - INFO - Figures folder: figures
2024-11-15 20:58:10,637 - INFO - Input folder: input_files
2024-11-15 20:58:10,637 - INFO - Output folder: output_files
2024-11-15 21:22:52,577 - INFO - Output 2, Epoch 39/50 - Epoch Loss: 662.5764
2024-11-15 21:23:09,059 - INFO - Output 2, Epoch 40/50 - Epoch Loss: 662.4976
2024-11-15 21:23:25,609 - INFO - Output 2, Epoch 41/50 - Epoch Loss: 662.5134
2024-11-15 21:23:42,168 - INFO - Output 2, Epoch 42/50 - Epoch Loss: 662.4580
2024-11-15 21:23:58,722 - INFO - Output 2, Epoch 43/50 - Epoch Loss: 662.4286
2024-11-15 21:24:15,471 - INFO - Output 2, Epoch 44/50 - Epoch Loss: 662.5291
2024-11-15 21:24:32,043 - INFO - Output 2, Epoch 45/50 - Epoch Loss: 662.4108
2024-11-15 21:24:48,780 - INFO - Output 2, Epoch 46/50 - Epoch Loss: 662.4133
2024-11-15 21:25:05,403 - INFO - Output 2, Epoch 47/50 - Epoch Loss: 662.3969
2024-11-15 21:25:21,920 - INFO - Output 2, Epoch 48/50 - Epoch Loss: 662.4434
2024-11-15 21:25:38,536 - INFO - Output 2, Epoch 49/50 - Epoch Loss: 662.4002
2024-11-15 21:25:55,011 - INFO - Output 2, Epoch 50/50 - Epoch Loss: 662.3159
2024-11-15 21:25:55,011 - INFO - Finished training model for output 2. Final Epoch Loss: 662.3159
2024-11-15 21:25:57,441 - INFO - R^2 score on validation set: 0.1225
2024-11-15 21:25:57,441 - INFO - R^2 score on test set: 0.1239
2024-11-15 21:25:58,307 - INFO - Validation plot saved.
2024-11-15 21:25:58,578 - INFO - Test plot saved.
